trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20121216SUN_125950_A..S54R,21:40:30,21:40:30,A40S,17,,0,0,
B20121216SUN_126950_A..S55R,21:50:30,21:50:30,A40S,17,,0,0,
B20121216SUN_138000_A..N09R,23:56:00,23:56:00,A40N,29,,0,0,
B20121216SUN_127950_A..S54R,22:00:30,22:00:30,A40S,17,,0,0,
B20121216SUN_141800_A..N04R,24:11:00,24:11:00,A40N,23,,0,0,
B20121216SUN_128950_A..S55R,22:10:30,22:10:30,A40S,17,,0,0,
B20121216SUN_141000_A..N09R,24:26:00,24:26:00,A40N,29,,0,0,
B20121216SUN_144800_A..N04R,24:41:00,24:41:00,A40N,23,,0,0,
B20121216SUN_129750_A..S54R,22:18:30,22:18:30,A40S,17,,0,0,
B20121216SUN_131000_A..S55R,22:31:00,22:31:00,A40S,17,,0,0,
B20121216SUN_144200_A..N09R,24:56:00,24:56:00,A40N,29,,0,0,
B20121216SUN_132200_A..S54R,22:43:00,22:43:00,A40S,17,,0,0,
B20121216SUN_133400_A..S55R,22:55:00,22:55:00,A40S,17,,0,0,
B20121216SUN_146200_A..N09R,25:16:00,25:16:00,A40N,29,,0,0,
B20121216SUN_134000_A..S04R,23:07:30,23:07:30,A40S,30,,0,0,
B20121216SUN_135000_A..S74R,23:17:30,23:17:30,A40S,30,,0,0,
B20121216SUN_148200_A..N09R,25:36:00,25:36:00,A40N,29,,0,0,
B20121216SUN_136250_A..S04R,23:30:00,23:30:00,A40S,30,,0,0,
B20121216SUN_137750_A..S74R,23:45:00,23:45:00,A40S,30,,0,0,
B20121216SUN_150200_A..N09R,25:56:00,25:56:00,A40N,29,,0,0,
B20121216SUN_139250_A..S04R,24:00:00,24:00:00,A40S,30,,0,0,
B20121216SUN_140750_A..S74R,24:15:00,24:15:00,A40S,30,,0,0,
B20121216SUN_152200_A..N09R,26:16:00,26:16:00,A40N,29,,0,0,
B20121216SUN_142100_A..S74R,24:28:30,24:28:30,A40S,30,,0,0,
B20121216SUN_154200_A..N09R,26:36:00,26:36:00,A40N,29,,0,0,
B20121216SUN_143750_A..S74R,24:45:00,24:45:00,A40S,30,,0,0,
